Unnamed: 0	snps_counts	position	types	type
[3300000, 3400000)	2	3350000	synonymous_variant	Style3
[1700000, 1800000)	1	1750000	synonymous_variant	Style3
[3500000, 3600000)	1	3550000	synonymous_variant	Style3
[2800000, 2900000)	1	2850000	synonymous_variant	Style3
[1800000, 1900000)	1	1850000	synonymous_variant	Style3
[0, 100000)	1	50000	synonymous_variant	Style3
[1000000, 1100000)	1	1050000	synonymous_variant	Style3
[200000, 300000)	1	250000	synonymous_variant	Style3
[500000, 600000)	1	550000	synonymous_variant	Style3
[1100000, 1200000)	1	1150000	synonymous_variant	Style3
[1500000, 1600000)	1	1550000	synonymous_variant	Style3
[900000, 1000000)	0	950000	synonymous_variant	Style3
[600000, 700000)	0	650000	synonymous_variant	Style3
[3600000, 3700000)	0	3650000	synonymous_variant	Style3
[700000, 800000)	0	750000	synonymous_variant	Style3
[3400000, 3500000)	0	3450000	synonymous_variant	Style3
[800000, 900000)	0	850000	synonymous_variant	Style3
[3200000, 3300000)	0	3250000	synonymous_variant	Style3
[3100000, 3200000)	0	3150000	synonymous_variant	Style3
[1600000, 1700000)	0	1650000	synonymous_variant	Style3
[2700000, 2800000)	0	2750000	synonymous_variant	Style3
[1400000, 1500000)	0	1450000	synonymous_variant	Style3
[2500000, 2600000)	0	2550000	synonymous_variant	Style3
[2400000, 2500000)	0	2450000	synonymous_variant	Style3
[2300000, 2400000)	0	2350000	synonymous_variant	Style3
[2200000, 2300000)	0	2250000	synonymous_variant	Style3
[2100000, 2200000)	0	2150000	synonymous_variant	Style3
[100000, 200000)	0	150000	synonymous_variant	Style3
[1900000, 2000000)	0	1950000	synonymous_variant	Style3
[4000000, 4100000)	0	4050000	synonymous_variant	Style3
[3900000, 4000000)	108	3937000	nonsynonymous_variant	Style3
[3000000, 3100000)	107	3037000	nonsynonymous_variant	Style3
[2900000, 3000000)	46	2937000	nonsynonymous_variant	Style3
[1200000, 1300000)	9	1237000	nonsynonymous_variant	Style3
[1300000, 1400000)	7	1337000	nonsynonymous_variant	Style3
[1100000, 1200000)	6	1137000	nonsynonymous_variant	Style3
[3200000, 3300000)	5	3237000	nonsynonymous_variant	Style3
[300000, 400000)	5	337000	nonsynonymous_variant	Style3
[3700000, 3800000)	5	3737000	nonsynonymous_variant	Style3
[2800000, 2900000)	4	2837000	nonsynonymous_variant	Style3
[1800000, 1900000)	4	1837000	nonsynonymous_variant	Style3
[1500000, 1600000)	4	1537000	nonsynonymous_variant	Style3
[2000000, 2100000)	4	2037000	nonsynonymous_variant	Style3
[200000, 300000)	4	237000	nonsynonymous_variant	Style3
[1600000, 1700000)	3	1637000	nonsynonymous_variant	Style3
[3100000, 3200000)	3	3137000	nonsynonymous_variant	Style3
[1700000, 1800000)	3	1737000	nonsynonymous_variant	Style3
[700000, 800000)	3	737000	nonsynonymous_variant	Style3
[500000, 600000)	3	537000	nonsynonymous_variant	Style3
[2700000, 2800000)	3	2737000	nonsynonymous_variant	Style3
[2400000, 2500000)	2	2437000	nonsynonymous_variant	Style3
[3800000, 3900000)	2	3837000	nonsynonymous_variant	Style3
[2600000, 2700000)	2	2637000	nonsynonymous_variant	Style3
[1000000, 1100000)	2	1037000	nonsynonymous_variant	Style3
[1400000, 1500000)	2	1437000	nonsynonymous_variant	Style3
[2200000, 2300000)	2	2237000	nonsynonymous_variant	Style3
[2100000, 2200000)	2	2137000	nonsynonymous_variant	Style3
[1900000, 2000000)	2	1937000	nonsynonymous_variant	Style3
[800000, 900000)	2	837000	nonsynonymous_variant	Style3
[2300000, 2400000)	2	2337000	nonsynonymous_variant	Style3
[3400000, 3500000)	1	3437000	nonsynonymous_variant	Style3
[3500000, 3600000)	1	3537000	nonsynonymous_variant	Style3
[3300000, 3400000)	1	3337000	nonsynonymous_variant	Style3
[0, 100000)	1	37000	nonsynonymous_variant	Style3
[900000, 1000000)	1	937000	nonsynonymous_variant	Style3
[600000, 700000)	1	637000	nonsynonymous_variant	Style3
[400000, 500000)	1	437000	nonsynonymous_variant	Style3
[4000000, 4100000)	1	4037000	nonsynonymous_variant	Style3
[2500000, 2600000)	0	2537000	nonsynonymous_variant	Style3
[100000, 200000)	0	137000	nonsynonymous_variant	Style3
[3600000, 3700000)	0	3637000	nonsynonymous_variant	Style3
[2900000, 3000000)	111	2950000	synonymous_variant	Style2
[3000000, 3100000)	56	3050000	synonymous_variant	Style2
[1300000, 1400000)	40	1350000	synonymous_variant	Style2
[1200000, 1300000)	2	1250000	synonymous_variant	Style2
[1100000, 1200000)	1	1150000	synonymous_variant	Style2
[200000, 300000)	1	250000	synonymous_variant	Style2
[1800000, 1900000)	1	1850000	synonymous_variant	Style2
[900000, 1000000)	1	950000	synonymous_variant	Style2
[2600000, 2700000)	0	2650000	synonymous_variant	Style2
[2700000, 2800000)	0	2750000	synonymous_variant	Style2
[2800000, 2900000)	0	2850000	synonymous_variant	Style2
[3100000, 3200000)	0	3150000	synonymous_variant	Style2
[3200000, 3300000)	0	3250000	synonymous_variant	Style2
[0, 100000)	0	50000	synonymous_variant	Style2
[2400000, 2500000)	0	2450000	synonymous_variant	Style2
[3300000, 3400000)	0	3350000	synonymous_variant	Style2
[3400000, 3500000)	0	3450000	synonymous_variant	Style2
[3500000, 3600000)	0	3550000	synonymous_variant	Style2
[3600000, 3700000)	0	3650000	synonymous_variant	Style2
